ERR_Rate,ERR_Type,Changed_Param,Original_PPL,Modified_PPL,Total_Errors,Corrected_Errors
0.1,0,286264247,6.196449071123441,25482708.08760257,286264247,0
0.1,1,286262040,6.196449071123441,48314720.35431972,286262040,0
0.1,2,286267539,6.196449071123441,1189687.8808861026,286267539,0
0.1,3,286252336,6.196449071123441,68999.02206263253,286252336,0
0.1,4,286265423,6.196449071123441,319.94173001131134,286265423,0
0.1,5,286263842,6.196449071123441,23.08952437720305,286263842,0
0.1,6,286268109,6.196449071123441,15.017606364434673,286268109,0
0.1,7,286262802,6.196449071123441,5.578084771940117,286262802,0
0.1,8,203777397,6.196449071123441,11871893.76109341,286237855,0
0.1,9,35788561,6.196449071123441,6.803886946188227,40258065,5202
0.1,10,186673777,6.196449071123441,10811441.114010151,250479227,0
0.1,11,167665825,6.196449071123441,130192.77887254805,214697522,0
0.1,12,146526074,6.196449071123441,45.73569549266299,178906669,0
0.1,13,123038703,6.196449071123441,23.53339142530834,143116395,0
0.1,14,96967840,6.196449071123441,6.220389095887201,107345945,0
0.1,15,67976320,6.196449071123441,7.3576864306680045,71552644,0
0.1,16,35788716,6.196449071123441,6.034697708157772,35788716,0
0.1,17,35777489,6.196449071123441,5.130599094909554,40243639,2767
0.1,18,36792371,6.196449071123441,20.215159064172756,36903706,1117468
0.1,19,151860500,6.196449071123441,17.761945359857148,35793292,373284
0.01,0,28632401,6.196449071123441,35643323.85748888,28632401,0
0.01,1,28630162,6.196449071123441,1363406.4439999308,28630162,0
0.01,2,28626042,6.196449071123441,519.1250579274385,28626042,0
0.01,3,28627366,6.196449071123441,17.09329815995149,28627366,0
0.01,4,28619711,6.196449071123441,12.470450943535816,28619711,0
0.01,5,28627394,6.196449071123441,7.102139320490631,28627394,0
0.01,6,28625620,6.196449071123441,5.7718023911836775,28625620,0
0.01,7,28624408,6.196449071123441,5.639084809881784,28624408,0
0.01,8,27641661,6.196449071123441,68049.89361224676,28623772,0
0.01,9,3582165,6.196449071123441,5.932473040661078,4024511,5202
0.01,10,24310461,6.196449071123441,229.59622259994407,25050076,0
0.01,11,20934710,6.196449071123441,24.898207871929497,21464387,0
0.01,12,17540837,6.196449071123441,10.081517071311328,17895631,0
0.01,13,14099229,6.196449071123441,5.604498795579209,14312098,0
0.01,14,10627055,6.196449071123441,5.386599545742506,10733859,0
0.01,15,7121050,6.196449071123441,5.819610468968473,7156723,0
0.01,16,3575860,6.196449071123441,6.001470876488694,3575860,0
0.01,17,3580561,6.196449071123441,5.7242976628584215,4024247,2767
0.01,18,3690330,6.196449071123441,6.252178536378536,3691443,111858
0.01,19,134131697,6.196449071123441,19.521610697454786,3577067,3107387
0.001,0,2862416,6.196449071123441,455069.6993481849,2862416,0
0.001,1,2863734,6.196449071123441,20.545592214445,2863734,0
0.001,2,2863092,6.196449071123441,14.159160168209048,2863092,0
0.001,3,2862694,6.196449071123441,6.781787551646391,2862694,0
0.001,4,2862524,6.196449071123441,7.100187234707742,2862524,0
0.001,5,2865480,6.196449071123441,7.251215460768542,2865480,0
0.001,6,2862517,6.196449071123441,6.108836753651107,2862517,0
0.001,7,2861255,6.196449071123441,5.960659711147926,2861255,0
0.001,8,2854165,6.196449071123441,18.963441404724907,2864085,0
0.001,9,363251,6.196449071123441,6.3147685043400825,402552,5202
0.001,10,2498284,6.196449071123441,13.73049307111738,2505762,0
0.001,11,2142246,6.196449071123441,14.910308683033719,2147503,0
0.001,12,1785990,6.196449071123441,5.369667488735026,1789616,0
0.001,13,1428847,6.196449071123441,7.086932173080746,1430960,0
0.001,14,1071745,6.196449071123441,6.293545766387955,1072803,0
0.001,15,716063,6.196449071123441,6.542858954416912,716427,0
0.001,16,357375,6.196449071123441,6.550177599179631,357375,0
0.001,17,360912,6.196449071123441,6.544871585387779,403349,2767
0.001,18,368881,6.196449071123441,6.488672345205677,368893,11113
0.001,19,133893574,6.196449071123441,20.17788441016829,357175,356376
0.0001,0,286954,6.196449071123441,16.732257893379913,286954,0
0.0001,1,286136,6.196449071123441,7.201278228929377,286136,0
0.0001,2,286052,6.196449071123441,9.063463115679978,286052,0
0.0001,3,286254,6.196449071123441,6.257863421959386,286254,0
0.0001,4,285713,6.196449071123441,5.669423935628856,285713,0
0.0001,5,286598,6.196449071123441,5.973999861131647,286598,0
0.0001,6,286743,6.196449071123441,6.282401690880502,286743,0
0.0001,7,286763,6.196449071123441,6.1082949744906205,286763,0
0.0001,8,287295,6.196449071123441,10.277301200817949,287388,0
0.0001,9,40787,6.196449071123441,6.332747831865303,40070,5202
0.0001,10,251700,6.196449071123441,7.7333470468771655,251765,0
0.0001,11,215048,6.196449071123441,6.612682847165452,215109,0
0.0001,12,179347,6.196449071123441,6.041496912646445,179384,0
0.0001,13,142653,6.196449071123441,6.3130192881028995,142680,0
0.0001,14,107628,6.196449071123441,6.558796733309148,107637,0
0.0001,15,71507,6.196449071123441,6.349145556013895,71511,0
0.0001,16,36121,6.196449071123441,6.419286224237919,36121,0
0.0001,17,38395,6.196449071123441,6.283078751622227,40149,2767
0.0001,18,36961,6.196449071123441,6.301795656423449,36961,1091
0.0001,19,133893173,6.196449071123441,20.430099074314402,35696,35693
